id_jugador;full_name;name;last_name;age;birthday_GMT;position_campo;current_club;nationality
218;Emmanuel Francisco Gomez Riga;Emmanuel;Francisco Gomez Riga;21;NULL;Goalkeeper;Velez Sarsfield;Argentina
219;Enrique Alberto Bologna Gomez;Enrique;Alberto Bologna Gomez;41;NULL;Goalkeeper;Defensa y Justicia;Argentina
220;Enzo Gaggi;Enzo;Gaggi;25;NULL;Midfielder;Godoy Cruz;Argentina
221;Enzo Herni Diaz;Enzo;Herni Diaz;27;NULL;Midfielder;River Plate;Argentina
222;Enzo Martin Roldi;Enzo;Martin Roldi;22;NULL;Midfielder;Union Santa Fe;Argentina
223;Enzo Maximiliano Kalinski;Enzo;Maximiliano Kalinski;36;NULL;Midfielder;Central Cordoba SdE;Argentina
224;Enzo Miguel Larrosa Martinez;Enzo;Miguel Larrosa Martinez;22;NULL;Midfielder;Godoy Cruz;Uruguay
225;Enzo Nahuel Luna;Enzo;Nahuel Luna;21;NULL;Forward;Huracan;Argentina
226;Enzo Perez;Enzo;Perez;37;NULL;Midfielder;River Plate;Argentina
227;Enzo Rivamar;Enzo;Rivamar;20;NULL;Midfielder;Godoy Cruz;Argentina
228;Eric Daian Remedi;Eric;Daian Remedi;28;NULL;Midfielder;Banfield;Argentina
229;Eric Ivi Jesus Ramirez;Eric;Ivi Jesus Ramirez;26;NULL;Forward;Gimnasia La Plata;Argentina
230;Eric Meza;Eric;Meza;24;NULL;Defender;Colon;Argentina
231;Erik Fernando Godoy;Erik;Fernando Godoy;30;NULL;Defender;Belgrano;Argentina
232;Eros Nazareno Mancuso;Eros;Nazareno Mancuso;24;NULL;Defender;Estudiantes;Argentina
233;Esteban Lucero;Esteban;Lucero;18;NULL;Defender;Defensa y Justicia;Argentina
234;Esteban Rolon;Esteban;Rolon;28;NULL;Midfielder;Boca Juniors;Argentina
235;Exequiel Zeballos;Exequiel;Zeballos;21;NULL;Forward;Boca Juniors;Argentina
236;Ezequiel Augusto Bonifacio;Ezequiel;Augusto Bonifacio;29;NULL;Defender;Banfield;Argentina
237;Ezequiel Barco;Ezequiel;Barco;24;NULL;Midfielder;River Plate;Argentina
238;Ezequiel Bullaude;Ezequiel;Bullaude;22;NULL;Forward;Boca Juniors;Argentina
239;Ezequiel Centurion;Ezequiel;Centurion;26;NULL;Goalkeeper;River Plate;Argentina
240;Ezequiel Cerutti;Ezequiel;Cerutti;31;NULL;Forward;San Lorenzo;Argentina
241;Ezequiel Fernidez;Ezequiel;Fernidez;21;NULL;Midfielder;Boca Juniors;Argentina
242;Ezequiel Forclaz;Ezequiel;Forclaz;20;NULL;Midfielder;Tigre;Argentina
243;Ezequiel Herrera;Ezequiel;Herrera;20;NULL;Defender;San Lorenzo;Argentina
244;Ezequiel Mu̱oz;Ezequiel;Mu̱oz;32;NULL;Defender;Estudiantes;Argentina
245;Ezequiel Orbe;Ezequiel;Orbe;18;NULL;Defender;Estudiantes;Argentina
246;Fabii Bordagaray;Fabii;Bordagaray;36;NULL;Forward;Belgrano;Argentina
247;Fabio Enrique Alvarez;Fabio;Enrique Alvarez;30;NULL;Forward;Colon;Argentina
